number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_dim,params_latent_dim,params_learning_rate,params_num_flows,params_patience,state
37,-0.053393868108590446,2024-12-09 12:21:49.627475,2024-12-09 12:27:21.433834,0 days 00:05:31.806359,64,256,32,4.279758926283419e-05,9,10,COMPLETE
38,-0.13749086161454518,2024-12-09 12:21:57.159385,2024-12-09 12:31:38.829878,0 days 00:09:41.670493,64,256,32,4.45828519122203e-05,9,8,COMPLETE
39,-0.39695008397102355,2024-12-09 12:23:15.100985,2024-12-09 12:38:47.470633,0 days 00:15:32.369648,64,256,32,4.567648679163321e-05,7,10,COMPLETE
40,-0.09045095890760421,2024-12-09 12:24:50.250700,2024-12-09 12:30:07.815502,0 days 00:05:17.564802,64,256,32,4.708173389532036e-05,9,10,COMPLETE
41,-0.23744785686333975,2024-12-09 12:27:21.438833,2024-12-09 12:35:51.211371,0 days 00:08:29.772538,64,256,32,0.0002611609528574632,7,8,COMPLETE
42,-0.2846409837404887,2024-12-09 12:29:33.769249,2024-12-09 12:38:27.484899,0 days 00:08:53.715650,64,256,32,0.0018155102494459927,7,7,COMPLETE
43,0.042653853197892506,2024-12-09 12:30:07.819500,2024-12-09 12:45:48.183922,0 days 00:15:40.364422,64,256,64,0.001588631469994704,7,7,COMPLETE
44,-0.026744102189938227,2024-12-09 12:30:42.703913,2024-12-09 12:46:13.785146,0 days 00:15:31.081233,64,256,64,0.0011182792159533576,7,7,COMPLETE
45,-0.032796292255322136,2024-12-09 12:31:38.834872,2024-12-09 12:44:29.852892,0 days 00:12:51.018020,64,128,64,0.002117832559470504,6,7,COMPLETE
46,-0.12809291779994963,2024-12-09 12:34:51.654978,2024-12-09 12:45:10.496225,0 days 00:10:18.841247,64,128,64,0.0012588341036957721,7,7,COMPLETE
47,-0.5456504583358764,2024-12-09 12:35:51.222343,2024-12-09 12:50:09.755401,0 days 00:14:18.533058,64,256,32,0.0007335519798377545,7,7,COMPLETE
48,-0.07973117157816886,2024-12-09 12:36:13.240617,2024-12-09 12:52:05.096877,0 days 00:15:51.856260,16,256,32,0.000662874453854522,7,7,COMPLETE
49,0.04349561066677173,2024-12-09 12:36:20.615490,2024-12-09 13:01:56.208966,0 days 00:25:35.593476,16,256,64,0.002392384454055505,7,7,COMPLETE
50,0.04369623580326636,2024-12-09 12:38:27.489942,2024-12-09 12:52:40.865935,0 days 00:14:13.375993,16,256,32,0.002104774059221167,7,7,COMPLETE
51,0.04415043210610747,2024-12-09 12:38:47.477416,2024-12-09 12:58:50.771532,0 days 00:20:03.294116,16,256,32,0.0020870867953533627,7,7,COMPLETE
52,0.043513925808171434,2024-12-09 12:43:33.637494,2024-12-09 12:58:41.755329,0 days 00:15:08.117835,16,256,32,0.002134121925283984,7,9,COMPLETE
53,-0.1271603710949421,2024-12-09 12:44:29.858012,2024-12-09 12:50:47.370107,0 days 00:06:17.512095,16,256,32,2.5285945571853567e-05,7,5,COMPLETE
54,-0.20394914348920187,2024-12-09 12:45:10.496225,2024-12-09 13:26:09.844922,0 days 00:40:59.348697,16,256,32,2.4718796794543593e-05,7,5,COMPLETE
55,-0.08421495084961256,2024-12-09 12:45:48.183922,2024-12-09 12:58:17.426532,0 days 00:12:29.242610,16,320,32,0.0006797866250860988,7,5,COMPLETE
56,-0.16232344980041186,2024-12-09 12:46:13.796159,2024-12-09 13:10:41.545104,0 days 00:24:27.748945,16,320,32,2.2290763505765333e-05,4,5,COMPLETE
57,0.04379700180143118,2024-12-09 12:50:09.755401,2024-12-09 13:01:59.772181,0 days 00:11:50.016780,8,320,32,0.000604484329584767,4,4,COMPLETE
58,-0.7145160660147667,2024-12-09 12:50:47.370107,2024-12-09 13:49:30.968973,0 days 00:58:43.598866,8,320,32,0.0005954699184820503,6,5,COMPLETE
59,0.04350098425832887,2024-12-09 12:52:05.096877,2024-12-09 13:11:32.289860,0 days 00:19:27.192983,8,320,32,0.0038997968029494358,4,5,COMPLETE
60,-0.25399391825000445,2024-12-09 12:52:40.881559,2024-12-09 13:25:55.046990,0 days 00:33:14.165431,16,320,32,1.0987026369850324e-05,4,9,COMPLETE
61,0.042635539826005694,2024-12-09 12:58:17.426532,2024-12-09 13:16:46.513134,0 days 00:18:29.086602,8,320,32,0.003584090493922025,5,9,COMPLETE
62,0.04253613902255893,2024-12-09 12:58:41.755329,2024-12-09 14:05:41.322479,0 days 01:06:59.567150,8,320,32,0.004679843621636586,4,10,COMPLETE
63,-0.019593917361150185,2024-12-09 12:58:50.771532,2024-12-09 13:10:39.885536,0 days 00:11:49.114004,8,320,32,0.004084342666322582,6,9,COMPLETE
64,-0.028992226626724005,2024-12-09 13:01:56.224591,2024-12-09 13:13:03.525302,0 days 00:11:07.300711,8,320,32,0.0003369397153516643,4,10,COMPLETE
65,-0.5502586116393408,2024-12-09 13:01:59.787807,2024-12-09 13:40:42.303200,0 days 00:38:42.515393,8,320,32,0.00035429780187778363,6,9,COMPLETE
66,-0.26747687384486196,2024-12-09 13:10:39.885536,2024-12-09 13:48:20.472846,0 days 00:37:40.587310,16,192,32,1.0208831367757461e-05,5,10,COMPLETE
67,-0.27522044678529106,2024-12-09 13:10:41.560728,2024-12-09 13:29:26.330668,0 days 00:18:44.769940,32,192,32,0.00037172867231167854,10,10,COMPLETE
68,0.04432993767162164,2024-12-09 13:11:32.305482,2024-12-09 13:27:39.272475,0 days 00:16:06.966993,32,192,128,7.079953795139499e-05,10,10,COMPLETE
69,0.0216061911235253,2024-12-09 13:13:03.530301,2024-12-09 13:40:04.628963,0 days 00:27:01.098662,32,192,128,1.258335108154642e-05,10,9,COMPLETE
70,-0.13243946333726248,2024-12-09 13:16:46.513134,2024-12-09 13:29:29.580678,0 days 00:12:43.067544,64,192,32,0.0002938896426855189,6,9,COMPLETE
71,-0.17350324193636577,2024-12-09 13:25:55.062614,2024-12-09 13:58:00.664020,0 days 00:32:05.601406,16,192,32,1.4052281336217035e-05,3,9,COMPLETE
72,-0.16786209891239803,2024-12-09 13:26:09.860546,2024-12-09 13:59:32.443077,0 days 00:33:22.582531,16,192,32,1.3096404182205984e-05,3,9,COMPLETE
73,-0.02226716559380293,2024-12-09 13:27:39.272475,2024-12-09 14:00:53.950860,0 days 00:33:14.678385,16,192,32,1.3003776588991148e-05,3,9,COMPLETE
74,-0.3782873213291168,2024-12-09 13:29:26.330668,2024-12-09 13:48:53.525573,0 days 00:19:27.194905,32,384,32,0.00042984688267792744,3,10,COMPLETE
