,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_dim,params_latent_dim,params_learning_rate,params_patience,state
164,164,0.08698117895787504,2024-12-26 04:05:49.979398,2024-12-26 06:50:52.237992,0 days 02:45:02.258594,8,256,128,0.0003577699485851079,9,COMPLETE
165,165,0.08716031012884459,2024-12-26 04:24:25.881039,2024-12-26 07:10:41.042223,0 days 02:46:15.161184,8,256,128,0.0007874887877051534,10,COMPLETE
166,166,0.08845445725816388,2024-12-26 04:36:14.704476,2024-12-26 06:07:54.267035,0 days 01:31:39.562559,8,448,96,0.00035445169601633147,9,COMPLETE
167,167,,2024-12-26 04:36:54.139561,2024-12-26 05:05:07.405296,0 days 00:28:13.265735,8,512,96,0.07153007460986702,9,FAIL
168,168,0.08863827586174011,2024-12-26 05:05:06.780294,2024-12-26 08:01:40.496281,0 days 02:56:33.715987,8,512,96,0.0003144632400366702,9,COMPLETE
169,169,0.08683466303999685,2024-12-26 05:05:07.420943,2024-12-26 07:57:24.890459,0 days 02:52:17.469516,8,512,96,0.00033470889921160456,9,COMPLETE
170,170,,2024-12-26 05:13:22.149981,2024-12-26 05:41:12.686767,0 days 00:27:50.536786,8,256,64,0.08900980915436799,10,FAIL
171,171,0.08809544310411986,2024-12-26 05:27:51.981271,2024-12-26 08:17:44.838529,0 days 02:49:52.857258,8,448,96,0.001387548870966605,10,COMPLETE
172,172,0.08831011440542315,2024-12-26 05:29:02.426589,2024-12-26 08:07:53.900581,0 days 02:38:51.473992,8,256,96,0.0013952737182727913,10,COMPLETE
173,173,0.0862466802257074,2024-12-26 05:29:09.648655,2024-12-26 08:19:40.635303,0 days 02:50:30.986648,8,448,96,0.00019161210478144632,10,COMPLETE
174,174,0.08736083087581797,2024-12-26 05:33:44.423343,2024-12-26 08:22:51.075651,0 days 02:49:06.652308,8,448,96,0.0014939768571597435,10,COMPLETE
175,175,0.08621207487714641,2024-12-26 05:41:12.702366,2024-12-26 08:32:33.038143,0 days 02:51:20.335777,8,448,96,0.0013473171230699058,10,COMPLETE
176,176,0.0880149498409709,2024-12-26 05:50:21.576119,2024-12-26 08:40:49.117262,0 days 02:50:27.541143,8,448,96,0.0014296363469934702,10,COMPLETE
177,177,0.0908751715240734,2024-12-26 05:56:11.196943,2024-12-26 08:48:00.157523,0 days 02:51:48.960580,8,448,96,0.0014742196787215472,10,COMPLETE
178,178,,2024-12-26 06:07:54.267035,2024-12-26 06:34:45.468832,0 days 00:26:51.201797,8,256,96,0.0624283397126282,10,FAIL
179,179,0.0873924311046966,2024-12-26 06:20:35.605646,2024-12-26 09:12:11.226664,0 days 02:51:35.621018,8,448,128,0.00012679618272336097,10,COMPLETE
180,180,,2024-12-26 06:26:21.533842,2024-12-26 06:54:28.943218,0 days 00:28:07.409376,8,448,96,0.048430460578119415,10,FAIL
181,181,0.08633053164240442,2024-12-26 06:34:20.482900,2024-12-26 09:13:34.142316,0 days 02:39:13.659416,8,256,96,0.0001230545969812732,10,COMPLETE
182,182,,2024-12-26 06:34:45.484461,2024-12-26 07:00:57.725014,0 days 00:26:12.240553,8,256,96,0.05108973005530627,10,FAIL
183,183,0.08650368308069326,2024-12-26 06:48:38.528486,2024-12-26 09:35:55.731822,0 days 02:47:17.203336,8,448,96,0.0014566288420853866,10,COMPLETE
184,184,0.08931498749165975,2024-12-26 06:50:52.253615,2024-12-26 09:35:37.537867,0 days 02:44:45.284252,8,448,96,0.00012544804187155335,10,COMPLETE
185,185,,2024-12-26 06:54:28.943218,2024-12-26 07:23:03.080689,0 days 00:28:34.137471,8,448,96,0.06057024185799615,10,FAIL
186,186,,2024-12-26 07:00:57.740625,2024-12-26 07:29:35.435363,0 days 00:28:37.694738,8,448,96,0.05373801521623332,10,FAIL
187,187,0.09191601905783936,2024-12-26 07:10:41.057835,2024-12-26 08:00:13.416700,0 days 00:49:32.358865,8,448,96,0.00444783595924419,10,COMPLETE
188,188,0.08862968283791502,2024-12-26 07:23:03.080689,2024-12-26 09:58:35.386929,0 days 02:35:32.306240,8,448,96,0.00012938679396786652,10,COMPLETE
189,189,0.09145653094438945,2024-12-26 07:29:35.435363,2024-12-26 08:21:20.367306,0 days 00:51:44.931943,8,448,96,0.004223038040989487,10,COMPLETE
190,190,0.09235661030754823,2024-12-26 07:57:24.890459,2024-12-26 10:19:01.318722,0 days 02:21:36.428263,8,448,96,0.004559512800735973,10,COMPLETE
191,191,0.0860697388915079,2024-12-26 08:00:13.432344,2024-12-26 10:20:21.474294,0 days 02:20:08.041950,8,448,96,8.275217450140344e-05,10,COMPLETE
192,192,0.08839762952773511,2024-12-26 08:01:40.511922,2024-12-26 10:21:28.372365,0 days 02:19:47.860443,8,448,128,0.00014929709221919423,7,COMPLETE
193,193,0.08789381546070095,2024-12-26 08:07:53.900581,2024-12-26 09:54:13.378363,0 days 01:46:19.477782,8,448,128,0.00011588323185698041,7,COMPLETE
194,194,0.0887074756960408,2024-12-26 08:17:44.847654,2024-12-26 10:26:18.742857,0 days 02:08:33.895203,8,448,128,0.00014215552402032817,7,COMPLETE
195,195,0.08803554305008479,2024-12-26 08:19:40.644424,2024-12-26 10:27:04.706123,0 days 02:07:24.061699,8,448,96,0.00013889635313822527,10,COMPLETE
196,196,0.08832150162393305,2024-12-26 08:21:20.375511,2024-12-26 10:25:45.639958,0 days 02:04:25.264447,8,448,96,0.0017120810120824506,10,COMPLETE
197,197,0.08853501912613376,2024-12-26 08:22:51.080841,2024-12-26 10:25:58.632262,0 days 02:03:07.551421,8,448,128,0.00014493246423046238,7,COMPLETE
198,198,0.08865127617008045,2024-12-26 08:32:33.038143,2024-12-26 10:28:30.377091,0 days 01:55:57.338948,8,448,96,0.00012635626328334176,10,COMPLETE
199,199,0.0870229063023414,2024-12-26 08:40:49.123394,2024-12-26 10:28:50.429959,0 days 01:48:01.306565,8,448,96,0.00012253264380113202,10,COMPLETE
